time	y
187	135.4141
188	133.6443
189	134.6972
190	137.7144
191	134.8064
192	134.9463
193	133.576
194	135.149
195	136.4526
196	132.8077
197	137.8168
198	135.3883
199	135.6811
200	134.7024
201	135.7446
202	133.1506
203	135.1721
204	135.212
205	131.7908
206	137.9053
207	137.7812
208	136.0167
209	139.3351
210	135.9083
211	131.819
212	135.8305
213	138.368
214	138.2741
215	135.0086
216	133.7974
217	133.296
218	132.3561
219	139.3351
220	137.2129
221	136.2714
222	132.3595
223	132.3595
224	137.0783
225	135.3604
226	137.3748
227	137.4557
228	134.2935
229	137.1332
230	133.8051
231	134.3812
232	135.6637
233	137.8007
234	138.1558
235	131.238
236	134.2432
237	139.0367
238	133.9086
239	136.1762
240	138.8578
241	133.6426
242	136.2953
243	138.0095
244	133.2001
245	133.3711
246	136.671
247	135.655
248	136.0733
249	135.2973
250	137.717
251	130.6414
252	125.4561
253	120.6588
254	120.6588
255	110.5184
256	110.6085
257	112.8327
258	108.2301
259	112.3881
260	110.0693
261	109.1891
262	110.6192
263	114.2291
264	113.6043
265	117.962
266	110.3231
267	112.3067
268	113.7068
269	116.9287
270	113.1106
271	111.6849
272	114.69
273	114.9741
274	116.6366
275	112.0055
276	110.5796
277	114.2238
278	116.2861
279	113.5397
280	109.7247
281	112.8092
282	116.128
283	113.8631
284	114.8091
285	111.2622
286	115.2987
287	121.9711
288	113.7082
289	116.2455
290	118.3533
291	117.0398
292	116.7847
293	117.4518
294	111.5737
295	108.274
296	111.5733
297	112.467
298	114.6937
299	116.615
300	115.6375
301	114.7423
302	115.7555
303	118.9393
304	116.1976
305	119.8983
306	115.5551
307	114.6721
308	116.7854
309	114.3266
310	115.6529
311	116.6548
312	112.1262
313	116.5255
314	118.6903
315	116.0199
316	112.6997
317	115.4415
318	115.1524
319	113.1921
320	114.2145
321	114.2864
322	110.2373
323	115.2614
324	119.8036
325	112.6584
326	118.5817
327	113.0891
328	113.0891
329	116.3687
330	115.0177
331	112.8917
332	112.8917
333	118.8776
334	109.3953
335	115.6274
336	115.7376
337	115.0916
338	113.9206
339	114.5212
340	110.9715
341	114.5274
342	113.1721
343	115.3031
344	118.2434
345	115.3391
346	114.0165
347	116.772
348	115.9441
349	115.4565
350	114.4201
351	112.8905
352	114.6504
353	113.0624
354	113.1596
355	113.9682
356	113.0744
357	114.4841
358	113.9883
359	116.1921
360	112.0653
361	115.0096
362	117.0125
363	114.7568
364	110.9926
365	114.9195
366	117.0465
367	116.8483
368	112.7281
369	111.3123
370	120.4904
371	115.7833
372	114.9077
373	116.9432
374	117.0125
375	117.5502
376	106.2079
377	114.1977
378	115.4486
379	114.6325
380	117.1294
381	114.3383
382	116.657
383	111.4738
384	114.1
385	115.2456
386	115.3997
387	113.9221
388	112.9038
389	114.3651
390	116.0049
391	111.9855
392	119.0731
393	114.1844
394	116.4509
395	117.9338
396	118.7815
397	112.467
398	113.6155
399	115.0702
400	116.1053
401	116.5123
402	113.5597
403	116.0468
404	118.1192
405	115.4867
406	115.6857
407	115.1885
408	115.811
409	113.5629
410	115.2908
411	115.2908
412	117.0057
413	117.5222
414	113.9381
415	117.3854
416	116.953
417	117.9479
418	115.2491
419	115.6399
420	120.4138
421	116.3137
422	113.6043
423	114.0453
424	113.4536
425	115.3067
426	116.8413
427	111.5932
428	114.8753
429	115.3997
430	116.3949
431	115.7555
432	115.2776
433	117.263
434	122.7091
435	123.2515
436	129.6091
437	124.7296
438	127.5422
439	126.1679
440	129.022
441	128.7828
442	130.2698
443	133.0072
444	127.7087
445	126.8713
446	131.3678
447	129.4337
448	126.332
449	129.022
450	132.2337
451	127.5203
452	131.9039
453	128.0078
454	129.5212
455	131.5129
456	130.9668
457	129.8343
458	126.6967
459	131.1625
460	132.4866
461	131.8831
462	128.273
463	129.3476
464	125.7533
465	130.791
466	125.8011
467	127.5994
468	130.1394
469	130.1191
470	126.8959
471	131.9217
472	126.1252
473	126.1252
474	122.3368
475	128.7396
476	128.2655
477	130.4684
478	129.9441
479	128.2906
480	126.7654
481	127.6441
482	126.6578
483	128.4039
484	129.4554
485	131.3875
486	128.7612
487	133.0041
488	130.0091
489	128.4686
490	127.8605
491	128.4258
492	130.4218
493	126.9602
494	129.1912
495	130.6716
496	131.9692
497	126.657
498	126.8296
499	128.2074
500	130.6591
501	129.8126
502	131.0771
503	128.5868
504	133.1171
505	129.0436
506	129.9862
507	124.9416
508	133.3554
509	129.5419
510	129.8265
511	133.0828
512	129.544
513	127.839
514	127.839
515	128.7677
516	126.7647
517	127.1488
518	128.0708
519	129.0227
520	126.1524
521	126.9399
522	125.8627
523	134.4086
524	131.8194
525	130.7475
526	128.2294
527	123.5051
528	131.5614
529	131.0991
530	131.3147
531	132.0883
532	128.6854
533	128.1213
534	130.2119
535	130.2452
536	129.4352
537	130.8128
538	128.0928
539	130.0295
540	126.6135
541	134.0607
542	129.9212
543	128.143
544	131.9708
545	131.731
546	134.23
547	130.6373
548	132.0226
549	125.7713
550	130.3334
551	125.0434
552	131.8023
553	132.8189
554	128.9571
555	124.4006
556	132.8378
557	130.3162
558	135.6353
559	127.4525
560	127.4849
561	130.9945
562	130.5771
563	129.6906
564	131.6261
565	130.9213
566	132.9649
567	130.552
568	129.0868
569	124.7258
570	128.9787
571	131.7206
572	126.9842
573	129.5862
574	132.4646
575	132.3024
576	130.2249
577	127.3039
578	128.6454
579	131.2791
580	131.4255
581	125.432
582	128.6153
583	128.7241
584	130.3117
585	126.3367
586	129.631
587	130.4033
588	130.6843
589	130.6224
590	130.6224
591	127.059
592	127.059
593	132.6565
594	132.6565
595	129.7166
596	122.0051
597	127.3257
598	132.5304
599	133.07
600	129.1956
601	128.7538
602	126.7935
603	129.1874
604	129.2777
605	131.5373
606	132.286
607	127.0259
608	129.7909
609	128.2076
610	132.5234
611	128.7175
612	130.507
613	126.829
614	124.6819
615	124.1389
616	120.1707
617	118.4672
618	120.2137
619	122.1238
620	125.2463
621	119.0931
622	121.7018
623	121.7082
624	114.9669
625	116.7818
626	115.8562
627	121.2597
628	118.8212
629	121.3055
630	115.7505
631	118.0056
632	116.054
633	119.8779
634	118.2076
635	115.5301
636	119.999
637	119.3658
638	121.8795
639	121.1306
640	119.8363
641	118.5655
642	120.4532
643	116.1821
644	119.2552
645	120.7935
646	123.0078
647	118.1221
648	119.3921
649	119.4485
650	120.8667
651	119.433
652	120.6379
653	120.1048
654	117.3155
655	117.1753
656	121.0937
657	119.7627
658	121.7594
659	119.6431
660	121.8634
661	124.7141
662	119.5587
663	120.0546
664	120.1338
665	118.503
666	122.9141
667	124.6143
668	119.5227
669	119.5227
670	122.8663
671	122.1917
672	117.0303
673	117.0303
674	118.2399
675	120.0875
676	120.0875
677	120.5917
678	118.3363
679	121.097
680	118.6552
681	113.7618
682	119.0429
683	120.4448
684	119.6002
685	125.0919
686	122.2866
687	122.7491
688	120.8833
689	118.5327
690	119.6159
691	118.1573
692	119.5278
693	123.1493
694	119.1933
695	121.3055
696	117.5505
697	116.8505
698	113.5223
699	125.6679
700	120.8617
701	119.1827
702	120.7474
703	119.1118
704	122.357
705	119.6344
706	121.9126
707	120.7388
708	119.302
709	116.6779
710	120.1509
711	118.864
712	120.4116
713	121.1828
714	121.4998
715	123.6493
716	121.4627
717	119.0309
718	117.8394
719	119.6267
720	113.9464
721	119.9416
722	120.7732
723	117.7003
724	118.2134
725	121.8498
726	121.8498
727	124.5619
728	118.2942
729	122.1848
730	122.851
731	115.0371
732	121.2637
733	122.6542
734	119.4863
735	119.5744
736	123.1862
737	118.9413
738	120.3746
739	122.3335
740	121.2051
741	118.0589
742	122.4242
743	122.3192
744	125.899
745	122.6784
746	121.3692
747	122.026
748	122.035
749	120.9668
750	117.4052
751	115.9815
752	118.7027
753	115.7245
754	120.6005
755	123.6267
756	119.3501
757	118.0615
758	121.5386
759	120.1868
760	118.8999
761	120.322
762	118.4459
763	120.4487
764	122.2967
765	116.7271
766	121.2456
767	119.9368
768	124.099
769	119.5334
770	118.7274
771	119.4707
772	119.2449
773	118.6971
774	120.1035
775	122.8483
776	121.8288
777	118.2045
778	118.2045
779	119.579
780	119.2294
781	119.2294
782	121.0076
783	116.4989
784	122.1169
785	120.8581
786	117.4604
787	118.1764
788	122.9009
789	117.2074
790	120.2506
791	120.1764
792	120.815
793	120.3428
794	117.6932
795	115.8397
796	114.3416
797	117.4104
798	118.5393
799	119.919
800	119.6993
801	115.8771
802	119.8712
803	120.0702
804	121.4028
805	115.1661
806	119.622
807	119.251
808	119.3208
809	118.6758
810	120.5046
811	123.2935
812	119.6477
813	118.5804
814	121.3349
815	119.6064
816	115.8493
817	119.8668
818	117.4058
819	120.1742
820	116.4906
821	117.0549
822	113.152
823	118.6215
824	120.5178
825	122.169
826	117.9097
827	119.0212
828	119.9732
829	117.9291
830	116.8687
831	120.7726
832	117.0465
833	116.4204
834	122.4813
835	117.4314
836	118.8514
837	118.4924
838	117.9024
839	119.2358
840	122.4072
841	119.4241
842	120.4863
843	116.7586
844	118.4924
845	120.168
846	118.7314
847	122.3756
848	119.6118
849	118.6346
850	120.4129
851	120.9202
852	120.168
853	120.8362
854	120.8362
855	119.2785
856	118.872
857	118.872
858	115.9116
859	120.7402
860	119.8712
861	119.8712
862	122.8527
863	120.3969
864	117.7193
865	122.5474
866	120.1543
867	115.9448
868	119.1534
869	119.4088
870	118.0597
871	118.9731
872	115.9191
873	123.1632
874	120.1059
875	114.3013
876	116.4736
877	122.2561
878	116.9853
879	122.4381
880	118.1273
881	122.1285
882	117.1703
883	118.1478
884	118.1902
885	118.8214
886	119.7214
887	122.0634
888	116.3122
889	120.19
890	118.0242
891	115.6578
892	120.1863
893	118.9761
894	119.0348
895	117.206
896	116.1715
897	118.9186
898	118.4559
899	120.0011
900	122.1431
901	119.752
902	113.4647
903	116.2062
904	118.3049
905	118.0863
906	120.4034
907	115.5727
908	119.4241
909	120.0061
910	119.1392
911	116.2673
912	116.7847
913	118.6698
914	116.1483
915	119.0792
916	122.0093
917	115.5551
918	118.7463
919	117.6129
920	116.3325
921	115.6984
922	118.113
923	120.4288
924	123.9745
925	119.4707
926	119.1218
927	118.2313
928	116.0552
929	118.2657
930	120.0061
931	122.8426
932	120.685
933	119.7729
934	118.034
935	114.4032
936	118.6493
937	115.1805
938	118.7051
939	121.7574
940	116.8344
941	118.3705
942	117.6538
943	117.5297
944	116.8751
945	116.2252
946	120.2325
947	120.2325
948	115.0766
949	116.9432
950	120.9954
951	120.9954
952	117.3687
953	118.7257
954	118.3265
955	118.9556
956	116.3796
957	118.7412
958	117.6333
959	117.1769
960	121.2418
961	116.7376
962	122.2071
963	117.1566
964	117.6783
965	118.1902
966	115.943
967	116.9107
968	115.9266
969	122.4384
970	117.2738
971	117.6861
972	117.9024
973	117.9271
974	114.3535
975	120.5784
976	125.7132
977	133.371
978	130.0743
979	137.3596
980	133.621
981	137.8666
982	135.325
983	134.6267
984	133.3825
985	137.9571
986	137.9571
987	135.2127
988	136.1947
989	133.9713
990	136.4133
991	137.2293
992	130.5084
993	137.2185
994	135.7657
995	136.1236
996	135.9955
997	135.5685
998	136.4895
999	132.9463
1000	140.109
1001	136.3402
1002	135.9479
1003	133.0016
1004	137.8168
1005	135.6825
1006	133.401
1007	135.7842
1008	132.6952
1009	138.0785
1010	136.7495
1011	133.3067
1012	135.8398
1013	132.0122
1014	134.8694
1015	138.2154
1016	135.903
1017	134.7151
1018	134.7419
1019	136.5328
1020	137.3109
1021	137.7546
1022	137.08
1023	134.695
1024	135.9255
1025	135.5226
1026	132.4821
1027	135.3071
1028	134.5761
1029	133.0363
1030	134.1482
1031	135.6138
1032	134.9194
1033	138.7827
1034	138.4048
1035	137.2863
1036	130.36
1037	126.4474
1038	119.2814
1039	120.0104
1040	123.4069
1041	117.197
1042	122.3774
1043	122.9944
1044	119.2761
1045	122.3192
1046	118.6219
1047	118.4137
1048	117.4234
1049	124.3166
1050	118.7329
1051	121.2665
1052	118.3503
1053	117.0918
1054	119.6244
1055	119.6244
1056	116.7121
1057	119.8513
1058	119.8513
1059	116.2723
1060	119.633
1061	118.005
1062	118.005
1063	119.9992
1064	116.9269
1065	123.2197
1066	119.0931
1067	120.0886
1068	116.0173
1069	118.8157
1070	122.1742
1071	118.1514
1072	119.9624
1073	116.4444
1074	124.1688
1075	114.9153
1076	118.905
1077	119.5035
1078	122.1042
1079	121.6486
1080	122.3185
1081	118.1257
1082	118.309
1083	120.4917
1084	118.6952
1085	121.8707
1086	120.7646
1087	119.3071
1088	117.8394
1089	120.9041
1090	119.0087
1091	115.9782
1092	119.0463
1093	121.3926
1094	118.497
1095	118.9109
1096	118.5567
1097	115.0652
1098	121.6859
1099	125.8138
1100	130.3422
1101	126.483
1102	127.839
1103	130.1801
1104	130.963
1105	127.1564
1106	130.2683
1107	130.4451
1108	129.4986
1109	130.487
1110	129.5429
1111	127.9865
1112	129.2623
1113	132.4208
1114	129.4554
1115	133.1129
1116	129.1891
1117	131.5878
1118	128.7762
1119	127.8605
1120	128.8561
1121	126.7829
1122	126.3173
1123	125.794
1124	126.5279
1125	127.7945
1126	127.796
1127	128.1863
1128	130.7928
1129	127.0907
1130	127.3403
1131	128.6654
1132	131.6893
1133	128.7396
1134	129.7559
1135	131.0951
1136	129.609
1137	127.8175
1138	127.5354
1139	131.3009
1140	124.1647
1141	130.0743
1142	132.753
1143	130.0598
1144	128.2945
1145	129.0861
1146	133.7543
1147	126.702
1148	129.3675
1149	130.1788
1150	128.7396
1151	130.906
1152	130.5303
1153	131.1795
1154	129.7559
1155	130.2032
1156	127.9649
1157	127.7962
1158	127.3621
1159	119.5959
1160	113.9691
1161	113.9691
1162	117.9097
1163	117.1598
1164	117.3446
1165	113.4121
1166	113.4121
1167	118.072
1168	118.072
1169	116.9514
1170	113.4121
1171	118.0235
1172	114.8955
1173	119.0753
1174	116.6499
1175	119.2225
1176	117.7358
1177	119.8617
1178	115.6857
1179	116.1483
1180	117.2306
1181	112.8398
1182	113.6445
1183	118.311
1184	118.4997
1185	117.7434
1186	115.6249
1187	112.8398
1188	114.3182
1189	112.5268
1190	113.8858
1191	113.8406
1192	115.257
1193	115.7682
1194	115.1441
1195	111.1507
1196	117.4546
1197	117.3702
1198	116.6243
1199	116.5045
1200	116.1097
1201	115.886
1202	111.9954
1203	116.034
1204	112.4115
1205	114.1275
1206	115.886
1207	113.4797
1208	114.2059
1209	114.9517
1210	110.9008
1211	115.7682
1212	119.9185
1213	114.6483
1214	114.6464
1215	116.8006
1216	116.7873
1217	116.3128
1218	117.1039
1219	116.5744
1220	113.6847
1221	119.6116
1222	116.2218
1223	116.4775
1224	114.6881
1225	113.6812
1226	117.8111
1227	113.6211
1228	115.2167
1229	118.7326
1230	110.713
1231	112.0452
1232	115.5426
1233	116.4763
1234	112.0255
1235	114.7423
1236	116.8687
1237	113.3319
1238	111.6444
1239	114.4371
1240	117.1802
1241	114.4963
1242	115.3874
1243	113.9856
1244	116.5142
1245	116.5142
1246	117.2804
1247	118.5262
1248	114.2663
1249	115.0379
1250	115.0379
1251	116.6641
1252	117.3687
1253	113.9649
1254	113.9649
1255	113.7437
1256	118.1254
1257	118.1254
1258	119.1178
1259	116.4224
1260	118.2495
1261	114.0345
1262	112.3666
1263	113.8254
1264	114.8753
1265	117.0549
1266	117.5798
1267	116.4767
